,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,23.84375,24.5,23.84375,24.3125,12.379204,5055000,
1,2000-01-04,24.3125,24.875,24.0,24.0,12.220086,6181400,
2,2000-01-05,24.0,25.09375,24.0,24.5625,12.506495,6398600,
3,2000-01-06,25.28125,26.125,25.28125,25.8125,13.142956,5140600,
4,2000-01-07,26.375,27.5625,26.375,26.65625,13.572571,6360200,
5,2000-01-10,26.65625,27.28125,25.75,25.78125,13.127045,3682200,hold
6,2000-01-11,25.78125,26.59375,25.375,25.375,12.920194,3945600,hold
7,2000-01-12,25.5625,26.15625,25.5625,25.8125,13.142956,3401000,hold
8,2000-01-13,26.03125,26.6875,26.03125,26.09375,13.286162,3129400,hold
9,2000-01-14,26.09375,26.4375,25.9375,25.96875,13.222511,3044400,hold
10,2000-01-18,25.875,25.875,24.9375,24.96875,12.874472,4054200,hold
11,2000-01-19,24.96875,25.34375,24.65625,24.65625,12.713333,3424600,hold
12,2000-01-20,24.65625,24.96875,23.53125,23.5625,12.149377,4279200,hold
13,2000-01-21,23.5625,23.96875,22.8125,23.6875,12.213831,5000000,hold
14,2000-01-24,23.625,23.625,22.53125,22.65625,11.682092,5385600,hold
15,2000-01-25,22.5,22.5,21.28125,21.8125,11.247034,6084200,hold
16,2000-01-26,21.8125,22.84375,21.6875,22.46875,11.585409,4188200,hold
17,2000-01-27,22.46875,22.78125,22.0,22.28125,11.488731,3340800,hold
18,2000-01-28,22.28125,22.59375,21.75,21.75,11.214808,4851600,hold
19,2000-01-31,21.75,21.96875,21.21875,21.21875,10.940884,3677000,hold
20,2000-02-01,21.375,22.03125,21.375,21.59375,11.134245,2930200,hold
21,2000-02-02,21.59375,22.375,21.4375,21.71875,11.198691,2933600,hold
22,2000-02-03,21.625,21.625,21.0625,21.15625,10.908654,4343400,hold
23,2000-02-04,21.15625,21.40625,20.625,21.15625,10.908654,4122000,hold
24,2000-02-07,20.90625,20.90625,20.375,20.625,10.634735,4089800,hold
25,2000-02-08,20.625,20.75,20.0,20.5,10.570278,5848400,hold
26,2000-02-09,20.5,20.59375,19.5625,19.5625,10.08688,5934800,hold
