,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,68.625,69.1875,63.8125,65.1875,45.30233,12030800,
1,2000-01-04,64.0,64.3125,61.25,61.75,42.913429,8774500,
2,2000-01-05,61.75,63.0,61.0,63.0,43.782124,6931400,
3,2000-01-06,61.625,62.0,60.0,60.0,41.69725800000001,6603400,
4,2000-01-07,61.75,63.5,60.75,63.5,44.12960800000001,6201600,
5,2000-01-10,62.0,63.5625,62.0,63.1875,43.912441,5453000,hold
6,2000-01-11,63.4375,63.625,61.25,61.5625,42.783131,4371500,hold
7,2000-01-12,61.5625,62.0625,60.6875,61.0625,42.435638,4599400,hold
8,2000-01-13,62.125,62.5,61.5,62.125,43.174038,4538900,hold
9,2000-01-14,62.375,62.4375,61.1875,61.9375,43.043743,4578000,hold
10,2000-01-18,61.25,61.25,60.125,60.5,42.044731,5322000,hold
11,2000-01-19,60.125,62.4375,60.125,61.875,43.000286,5176400,hold
12,2000-01-20,61.5625,61.75,59.875,60.8125,42.261909,7213400,hold
13,2000-01-21,61.5,61.5,59.4375,60.0,41.69725800000001,6682900,hold
14,2000-01-24,60.9375,60.9375,56.6875,58.0,40.307365,7339600,hold
15,2000-01-25,57.0,57.125,54.875,56.125,39.004303,10252400,hold
16,2000-01-26,55.9375,57.6875,55.0625,57.375,39.873001,8468400,hold
17,2000-01-27,57.875,59.5,56.1875,58.25,40.481098,6915900,hold
18,2000-01-28,57.0,57.4375,55.5,55.625,38.656834,7425100,buy
19,2000-01-31,56.5,56.8125,55.0625,56.625,39.351795,5958600,hold
20,2000-02-01,56.9375,62.0,56.8125,62.0,43.087158,10950500,sell
21,2000-02-02,61.0,61.5,59.625,60.75,42.218472,5862100,hold
22,2000-02-03,60.5,60.625,59.0,60.5,42.044731,4008800,hold
23,2000-02-04,61.0,61.5,60.3125,61.125,42.47908,4063900,hold
24,2000-02-07,61.0,61.0,59.0,59.0,41.002285,3796600,hold
25,2000-02-08,59.75,61.4375,59.5625,61.0,42.392216,4501700,hold
26,2000-02-09,61.3125,61.3125,58.75,58.75,40.82856,5289700,hold
27,2000-02-10,59.0,59.9375,58.375,59.5625,41.393227,3644900,hold
28,2000-02-11,59.5,60.5,59.1875,60.0625,41.740704,4647100,hold
29,2000-02-14,59.5,60.5,59.4375,60.3125,41.914433,3173900,hold
30,2000-02-15,60.0625,60.1875,59.0625,59.75,41.523521,3531100,hold
31,2000-02-16,58.75,59.375,55.75,57.25,39.786152,6829800,hold
32,2000-02-17,57.25,57.4375,53.5625,54.5,37.875011,10785700,hold
33,2000-02-18,54.5625,55.8125,52.8125,53.75,37.35379,10402700,hold
