,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,29.0,29.0,27.625,28.1875,12.558132,10997000,
1,2000-01-04,28.1875,28.40625,27.8125,28.21875,12.572054,7308000,
2,2000-01-05,28.21875,28.71875,28.03125,28.46875,12.683432,9457400,
3,2000-01-06,28.46875,28.84375,28.28125,28.5,12.697355,7129200,
4,2000-01-07,28.9375,30.375,28.9375,30.375,13.532706,11474000,
5,2000-01-10,30.375,30.46875,29.375,29.40625,13.101105,8723800,buy
6,2000-01-11,30.0625,30.625,30.0625,30.40625,13.546625,9398000,hold
7,2000-01-12,30.40625,30.90625,30.21875,30.75,13.69978,8389800,hold
8,2000-01-13,30.71875,30.71875,30.21875,30.28125,13.490945000000002,6106000,hold
9,2000-01-14,30.34375,30.96875,30.34375,30.53125,13.602323,7513200,hold
10,2000-01-18,30.53125,32.5,30.53125,32.5,14.479438,18350800,hold
11,2000-01-19,32.5,32.625,32.03125,32.625,14.535135999999998,12813400,hold
12,2000-01-20,32.625,32.96875,32.5625,32.9375,14.674357999999998,11539800,hold
13,2000-01-21,32.9375,33.4375,32.875,33.4375,14.897124,11385800,sell
14,2000-01-24,33.375,33.375,31.78125,32.4375,14.451595,11306000,hold
15,2000-01-25,32.4375,33.03125,31.4375,32.9375,14.674357999999998,9718600,hold
16,2000-01-26,32.75,32.75,31.375,31.53125,14.047839000000002,23723800,hold
17,2000-01-27,31.34375,31.34375,29.21875,29.75,13.254257999999998,17550800,hold
18,2000-01-28,29.75,29.78125,28.46875,28.46875,12.683432,10875200,hold
19,2000-01-31,28.46875,29.375,28.28125,28.71875,12.794816,10734600,hold
20,2000-02-01,28.71875,29.1875,28.15625,29.0625,12.947958,8114600,hold
21,2000-02-02,28.9375,28.9375,28.03125,28.1875,12.558132,7164000,hold
22,2000-02-03,28.1875,28.375,27.53125,27.625,12.307522,9464400,buy
23,2000-02-04,27.625,28.875,27.53125,28.125,12.530281,11501800,hold
24,2000-02-07,28.125,28.8125,27.78125,28.4375,12.669512,7742800,hold
25,2000-02-08,28.4375,28.9375,28.375,28.59375,12.739121,8261200,hold
26,2000-02-09,28.59375,28.875,28.375,28.5,12.697355,7948600,hold
27,2000-02-10,28.5,28.6875,28.125,28.34375,12.627741,8031000,hold
28,2000-02-11,27.96875,27.96875,27.4375,27.78125,12.377138,7688600,hold
29,2000-02-14,27.625,27.625,26.90625,27.0625,12.056917,7134000,hold
30,2000-02-15,27.0625,27.875,26.625,27.84375,12.404975,7850800,hold
31,2000-02-16,27.71875,27.71875,26.625,26.78125,11.931616,6869200,hold
32,2000-02-17,26.78125,26.78125,25.59375,26.15625,11.653166,11661000,hold
33,2000-02-18,26.15625,26.15625,25.375,25.6875,11.444329,11443400,hold
34,2000-02-22,25.6875,26.3125,25.25,25.875,11.527859,10543000,hold
35,2000-02-23,25.71875,25.71875,25.0,25.625,11.416482,11021600,hold
36,2000-02-24,25.25,25.25,24.15625,24.90625,11.096261,15451600,hold
37,2000-02-25,24.90625,25.34375,24.03125,24.34375,10.845655,10905200,hold
38,2000-02-28,24.34375,24.84375,23.78125,24.65625,10.984882,10790800,hold
39,2000-02-29,24.40625,24.40625,23.8125,24.3125,10.831733,10346200,hold
40,2000-03-01,24.59375,25.6875,24.59375,25.5,11.36079,15612200,hold
41,2000-03-02,25.5,25.90625,24.6875,24.8125,11.054497,11358600,hold
42,2000-03-03,24.8125,25.1875,24.53125,25.0625,11.165874,9010600,hold
43,2000-03-06,24.75,24.75,24.15625,24.5,10.915272,7866000,hold
44,2000-03-07,24.5,24.5,22.40625,23.5625,10.497594,23440200,hold
45,2000-03-08,23.5625,24.03125,22.9375,23.75,10.581131,14441600,hold
46,2000-03-09,23.75,23.78125,22.9375,23.375,10.41406,12389400,hold
47,2000-03-10,23.3125,23.3125,22.03125,22.75,10.135611,14059200,hold
48,2000-03-13,22.15625,22.15625,21.5625,21.875,9.81915,15646400,hold
49,2000-03-14,21.875,22.15625,21.4375,21.65625,9.720957,11162000,buy
50,2000-03-15,21.75,23.90625,21.75,23.78125,10.674815,22138200,hold
51,2000-03-16,24.28125,24.9375,24.28125,24.875,11.165774,17610200,sell
52,2000-03-17,24.875,24.96875,24.375,24.5625,11.025504,14530800,hold
53,2000-03-20,24.5,24.5,24.03125,24.28125,10.899257,6755200,hold
54,2000-03-21,24.28125,24.84375,23.6875,24.71875,11.09564,8575800,hold
55,2000-03-22,24.5,24.5,23.09375,23.53125,10.562602,11884200,hold
56,2000-03-23,23.53125,24.1875,23.21875,23.5,10.548573,10333800,hold
57,2000-03-24,23.5,23.59375,23.1875,23.5,10.548573,8769200,hold
58,2000-03-27,23.5,23.5625,22.625,22.625,10.155807,10535400,hold
59,2000-03-28,22.625,23.25,22.4375,22.4375,10.071647,13673000,buy
60,2000-03-29,22.65625,23.53125,22.65625,23.4375,10.520521,16292600,hold
61,2000-03-30,23.5625,24.96875,23.5625,24.28125,10.899257,18795200,hold
62,2000-03-31,24.28125,24.34375,23.46875,23.46875,10.534544,8857000,hold
63,2000-04-03,23.625,24.96875,23.625,24.65625,11.067585,14186800,hold
64,2000-04-04,24.65625,26.1875,24.09375,26.1875,11.75493,27390200,sell
65,2000-04-05,25.46875,25.46875,23.6875,23.8125,10.688845,20256600,hold
66,2000-04-06,23.8125,23.96875,22.375,22.875,10.268026,20675000,hold
67,2000-04-07,22.875,23.21875,22.375,23.09375,10.366215,12374000,hold
68,2000-04-10,23.09375,23.59375,22.4375,22.5,10.099699,12903000,buy
69,2000-04-11,22.84375,23.875,22.84375,23.59375,10.590654,12096400,hold
70,2000-04-12,23.84375,24.96875,23.84375,24.25,10.885235,15586400,hold
71,2000-04-13,24.25,24.3125,23.5625,23.625,10.604682,8892800,hold
72,2000-04-14,23.625,23.78125,23.03125,23.5,10.548573,9488200,hold
73,2000-04-17,23.5,24.3125,23.125,24.25,10.885235,10710200,hold
74,2000-04-18,24.25,24.5625,23.1875,24.3125,10.913286,13001000,hold
75,2000-04-19,24.3125,24.84375,23.96875,24.59375,11.039533,10073200,hold
76,2000-04-20,24.59375,24.71875,24.0,24.71875,11.09564,8278600,hold
