,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,68.625,68.625,66.5,67.625,33.051468,5978800,
1,2000-01-04,67.0,67.8125,64.75,65.25,31.89068,7533100,
2,2000-01-05,65.0625,68.875,65.0625,67.8125,33.143089,7598300,
3,2000-01-06,67.8125,69.1875,67.6875,68.375,33.418026,4760500,
4,2000-01-07,69.8125,75.25,69.625,74.9375,36.625381,10373300,
5,2000-01-10,74.75,74.8125,72.125,72.75,35.556271,5726800,hold
6,2000-01-11,72.0625,73.6875,71.375,73.0,35.67845900000001,5023300,hold
7,2000-01-12,73.625,75.1875,73.4375,74.4375,36.38105,4990400,hold
8,2000-01-13,74.8125,76.125,73.8125,74.75,36.533768,5353500,hold
9,2000-01-14,75.25,75.9375,72.6875,74.125,36.228291,5540200,hold
10,2000-01-18,73.125,73.5625,70.5625,70.8125,34.609341,5299700,hold
11,2000-01-19,71.75,72.6875,71.25,71.5,34.945335,4761600,hold
12,2000-01-20,71.9375,73.1875,71.4375,72.9375,35.647919,4986300,hold
13,2000-01-21,74.5,74.5,71.5625,72.4375,35.403538,7928900,hold
14,2000-01-24,73.0,73.0,69.0625,70.25,34.3344,5189100,buy
15,2000-01-25,71.125,72.0,70.625,70.875,34.639874,5446100,hold
16,2000-01-26,71.0,73.0,70.625,72.8125,35.586815,5357500,hold
17,2000-01-27,73.125,75.4375,73.0,74.125,36.228291,7747200,hold
18,2000-01-28,75.5,78.4375,75.25,76.375,37.327969,9823000,hold
19,2000-01-31,75.6875,79.0,74.5625,78.625,38.427643,8006300,sell
20,2000-02-01,77.375,77.9375,75.5,76.8125,37.541801,5026400,hold
21,2000-02-02,77.3125,78.375,75.9375,76.875,37.572361,4642700,hold
22,2000-02-03,76.3125,76.6875,75.375,76.25,37.266891,3874000,hold
23,2000-02-04,76.875,76.875,74.9375,75.0625,36.686501,4262100,hold
24,2000-02-07,74.25,75.4375,73.75,75.25,36.778133,4170200,hold
25,2000-02-08,75.5,75.875,75.0625,75.4375,36.869785,3939200,hold
26,2000-02-09,74.125,74.1875,70.875,71.375,34.884251,6927300,hold
27,2000-02-10,70.0,70.25,68.0,69.0,33.723476,7019500,hold
28,2000-02-11,67.625,68.125,64.3125,65.25,31.89068,9213400,hold
29,2000-02-14,65.5,66.4375,64.0,66.0625,32.287796,8933100,hold
30,2000-02-15,65.75,66.625,65.125,65.625,32.073971,6377100,hold
31,2000-02-16,65.5,67.1875,65.25,65.5,32.012875,5137400,hold
32,2000-02-17,66.375,66.6875,63.125,63.25,30.913191,6936900,hold
33,2000-02-18,63.4375,64.375,61.5625,62.0,30.302254,6617100,hold
34,2000-02-22,62.5,65.5,61.8125,65.5,32.012875,9199400,hold
35,2000-02-23,66.0,66.0,63.125,63.125,30.852114,7728500,hold
36,2000-02-24,63.3125,63.3125,60.6875,62.0,30.302254,9066800,hold
37,2000-02-25,61.0625,61.5,59.1875,60.1875,29.41641,7701300,hold
38,2000-02-28,60.1875,61.9375,60.0,61.5625,30.088417,8488200,hold
39,2000-02-29,62.4375,63.125,61.375,61.5625,30.088417,7866200,hold
40,2000-03-01,61.5,61.75,59.75,60.0,29.463558000000006,6955700,hold
41,2000-03-02,60.0625,60.75,59.25,59.25,29.095263,5884600,hold
42,2000-03-03,60.0625,60.125,57.0625,57.5,28.235901,10216500,hold
43,2000-03-06,57.4375,57.75,56.25,56.5,27.744843,8686200,hold
