,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,6.164063,6.195313,5.96875,6.015625,1.833457,8014400,
1,2000-01-04,5.875,5.914063,5.671875,5.6875,1.7334490000000002,9810400,
2,2000-01-05,5.71875,6.046875,5.71875,6.015625,1.833457,6542400,
3,2000-01-06,5.984375,5.984375,5.820313,5.984375,1.823931,4891200,
4,2000-01-07,5.960938,6.0,5.875,5.984375,1.823931,3993600,
5,2000-01-10,6.015625,6.117188,6.0,6.085938,1.854886,3946400,hold
6,2000-01-11,6.171875,6.53125,6.15625,6.390625,1.947751,10976000,hold
7,2000-01-12,6.359375,6.375,6.140625,6.171875,1.881079,10050400,hold
8,2000-01-13,6.132813,6.304688,6.054688,6.25,1.904889,5144800,hold
9,2000-01-14,6.328125,6.484375,6.296875,6.414063,1.954894,7680800,hold
10,2000-01-18,6.34375,6.453125,6.257813,6.328125,1.928701,8356000,hold
11,2000-01-19,6.46875,6.6875,6.429688,6.6015630000000005,2.012039,10299200,sell
12,2000-01-20,6.65625,6.671875,6.40625,6.445313,1.964417,5103200,hold
13,2000-01-21,6.445313,6.445313,6.3125,6.335938,1.931082,10265600,hold
14,2000-01-24,6.203125,6.28125,6.15625,6.210938,1.892984,5733600,hold
15,2000-01-25,6.195313,6.265625,6.0625,6.109375,1.862029,3823200,hold
16,2000-01-26,5.765625,6.21875,5.765625,6.1875,1.885841,12886400,hold
17,2000-01-27,6.0,6.078125,5.796875,5.90625,1.800121,6304000,hold
18,2000-01-28,5.875,5.875,5.75,5.859375,1.785834,3556000,hold
19,2000-01-31,5.75,5.773438,5.679688,5.6875,1.7334490000000002,4627200,hold
20,2000-02-01,5.679688,5.890625,5.65625,5.835938,1.7786919999999995,5971200,hold
21,2000-02-02,5.828125,6.0625,5.773438,5.929688,1.807264,5572800,hold
22,2000-02-03,5.914063,5.984375,5.820313,5.984375,1.823931,3973600,sell
23,2000-02-04,5.984375,5.984375,5.828125,5.835938,1.7786919999999995,12485600,hold
24,2000-02-07,5.828125,5.828125,5.585938,5.65625,1.723925,6455200,hold
25,2000-02-08,5.625,5.625,4.515625,4.625,1.409618,65707200,hold
26,2000-02-09,4.5625,4.5625,4.046875,4.21875,1.285801,62571200,hold
27,2000-02-10,4.171875,4.351563,4.109375,4.21875,1.285801,25032800,hold
28,2000-02-11,4.265625,4.3125,4.140625,4.25,1.295325,12644800,hold
29,2000-02-14,4.1875,4.257813,4.015625,4.039063,1.231035,17859200,hold
30,2000-02-15,4.007813,4.015625,3.78125,3.804688,1.159602,30056000,hold
31,2000-02-16,3.804688,3.84375,3.65625,3.6875,1.123885,22678400,hold
32,2000-02-17,3.664063,3.734375,3.601563,3.625,1.1048360000000002,14977600,hold
33,2000-02-18,3.609375,3.640625,3.421875,3.5,1.066738,26087200,hold
34,2000-02-22,3.578125,3.59375,3.375,3.375,1.028641,12847200,hold
35,2000-02-23,3.53125,3.5625,3.492188,3.507813,1.0691190000000002,12624800,hold
36,2000-02-24,3.5,3.507813,3.328125,3.382813,1.031022,16156800,hold
37,2000-02-25,3.375,3.382813,3.3125,3.320313,1.011973,14830400,buy
