,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,53.90625,53.96875,52.84375,53.59375,29.559065000000004,4275000,
1,2000-01-04,53.1875,54.1875,51.875,52.5625,28.990292,4270800,
2,2000-01-05,52.4375,52.6875,51.25,51.5625,28.438744,5098400,
3,2000-01-06,52.5625,54.71875,52.53125,53.9375,29.748661,6524200,
4,2000-01-07,54.78125,58.5,54.59375,58.25,32.127178,9832000,
5,2000-01-10,57.90625,58.65625,57.1875,57.96875,31.972073,6862000,hold
6,2000-01-11,57.6875,58.875,57.21875,58.875,32.471882,4421800,sell
7,2000-01-12,58.3125,59.1875,58.0625,58.5,32.26506,6231600,hold
8,2000-01-13,58.4375,58.5,57.28125,57.5,31.71353,5285200,hold
9,2000-01-14,57.75,58.5,57.6875,58.5,32.26506,4904400,hold
10,2000-01-18,58.46875,59.0,58.03125,58.46875,32.247814,4456800,hold
11,2000-01-19,57.0,58.0,56.78125,57.6875,31.992037,5553400,hold
12,2000-01-20,57.0,57.125,53.8125,56.28125,31.212152000000003,10231800,hold
13,2000-01-21,56.3125,56.3125,49.75,51.34375,28.473953,24378800,hold
14,2000-01-24,48.0,54.4375,47.40625,51.5625,28.595255,28554600,hold
15,2000-01-25,51.8125,51.84375,48.5,48.75,27.035519,17097800,buy
16,2000-01-26,49.5,50.40625,49.40625,50.3125,27.902035,10243200,hold
17,2000-01-27,51.0,52.21875,50.59375,52.03125,28.855207,8989000,hold
18,2000-01-28,51.84375,51.84375,49.6875,50.15625,27.815399,9583400,hold
19,2000-01-31,50.125,50.5625,49.1875,50.53125,28.02335,4518200,hold
20,2000-02-01,50.34375,50.4375,49.375,49.75,27.590092,4044200,hold
21,2000-02-02,49.875,50.0,49.15625,49.3125,27.34746,3920800,hold
22,2000-02-03,49.90625,49.90625,48.34375,48.90625,27.122171,6259600,hold
23,2000-02-04,48.8125,48.84375,47.0,47.375,26.272985,7647800,hold
24,2000-02-07,47.0,47.40625,46.28125,46.625,25.857056,6464400,hold
25,2000-02-08,47.0,47.9375,46.40625,47.875,26.550261,6787800,hold
26,2000-02-09,47.625,47.9375,46.875,47.0,26.065001,6255800,hold
27,2000-02-10,46.875,47.34375,45.03125,45.71875,25.354467,5267800,buy
28,2000-02-11,45.65625,46.96875,45.65625,46.875,25.995682,5335000,hold
29,2000-02-14,46.84375,46.90625,45.5,45.9375,25.47578,5252200,hold
30,2000-02-15,46.25,47.90625,46.0625,47.875,26.550261,6864000,sell
31,2000-02-16,47.90625,48.125,46.5,47.023399,26.077986,5314600,hold
32,2000-02-17,47.0,47.5,46.5,47.09375,26.117001,4682400,hold
33,2000-02-18,46.90625,47.21875,46.0,46.820301,25.965351,4651600,hold
34,2000-02-22,46.15625,46.71875,45.03125,46.4375,25.753061,5226800,hold
35,2000-02-23,46.4375,46.4375,45.0625,45.3125,25.129171,5357000,hold
36,2000-02-24,45.1875,45.4375,43.28125,44.25,24.539938,7223200,hold
37,2000-02-25,44.375,44.5,42.5625,42.5625,23.604086,7177200,buy
38,2000-02-28,42.90625,45.0,42.5,44.1875,24.505278,7081600,hold
39,2000-02-29,44.75,44.9375,43.625,43.9375,24.366629,6661800,hold
40,2000-03-01,44.0,44.34375,43.4375,44.125,24.470604,4153600,hold
41,2000-03-02,44.0,44.21875,43.34375,43.65625,24.210653,3565800,hold
42,2000-03-03,43.90625,44.90625,43.5,44.21875,24.522596,4902200,sell
43,2000-03-06,44.1875,44.21875,43.3125,43.71875,24.245314,3668600,hold
44,2000-03-07,29.0,36.1875,28.625,30.5,16.914528,137287200,hold
45,2000-03-08,30.5,30.84375,28.5625,29.0,16.082663,74584200,hold
46,2000-03-09,29.25,29.75,28.25,28.875,16.013348,34217200,hold
47,2000-03-10,28.5625,28.875,26.375,26.875,14.904196,48561600,buy
48,2000-03-13,26.875,28.625,26.625,28.625,15.874695,35996800,hold
49,2000-03-14,28.71875,29.0,27.5625,27.875,15.458778,20742000,hold
50,2000-03-15,28.21875,29.25,27.3125,29.25,16.221312,24737400,hold
51,2000-03-16,29.84375,30.25,29.375,29.9375,16.602581,27405200,sell
52,2000-03-17,29.9375,29.9375,28.5,28.8125,15.978685999999998,22202400,hold
53,2000-03-20,29.1875,29.5156,28.71875,29.0625,16.117325,11856000,hold
54,2000-03-21,28.59375,28.75,28.0625,28.5,15.805376,14933000,hold
55,2000-03-22,28.625,28.84375,27.6875,28.5,15.805376,15490200,hold
56,2000-03-23,27.96875,28.4375,27.78125,28.09375,15.580085,13621800,hold
57,2000-03-24,28.21875,28.25,27.5625,28.21875,15.649408,14311600,hold
58,2000-03-27,28.125,28.5,27.5625,27.625,15.320125,11909400,buy
59,2000-03-28,27.59375,28.5625,27.59375,28.5,15.805376,12057600,hold
60,2000-03-29,28.59375,29.375,28.5625,29.34375,16.273294,15731600,hold
61,2000-03-30,29.46875,30.0625,29.0,29.0,16.082663,16008000,hold
62,2000-03-31,29.75,29.75,28.125,28.375,15.736055,12033600,hold
63,2000-04-03,28.375,30.0,28.375,29.75,16.498601999999998,10071400,hold
64,2000-04-04,30.4375,32.0,30.0,31.75,17.607754,27514000,hold
65,2000-04-05,31.34375,31.8125,30.78125,30.78125,17.070498999999998,13620000,hold
66,2000-04-06,31.0,31.46875,30.5,31.375,17.399784,7827000,hold
67,2000-04-07,31.6875,31.875,31.25,31.71875,17.590418,7794800,hold
68,2000-04-10,31.96875,33.0,31.875,33.0,18.300959,11747000,hold
69,2000-04-11,32.8125,33.40625,31.875,33.21875,18.422285,10197600,hold
70,2000-04-12,33.96875,36.375,33.8125,34.65625,19.219475,20645800,hold
71,2000-04-13,34.75,34.9375,33.59375,34.75,19.271461,11353400,hold
72,2000-04-14,34.0,34.125,31.0,31.5,17.469097,17381800,buy
73,2000-04-17,31.4375,34.5625,31.375,34.5,19.132832,15054000,hold
74,2000-04-18,34.28125,34.28125,32.6875,33.03125,18.489794,14387600,hold
75,2000-04-19,33.15625,33.875,32.78125,33.03125,18.489794,7923200,hold
76,2000-04-20,33.0625,34.5,33.0625,34.46875,19.29446,8139200,hold
77,2000-04-24,34.46875,35.5,34.25,35.25,19.731773,8723200,sell
78,2000-04-25,35.25,35.25,31.71875,32.125,17.982508,20658400,hold
79,2000-04-26,31.625,31.6875,29.9375,30.375,17.002922,24605400,hold
80,2000-04-27,30.0,31.125,29.625,30.4375,17.037899,15193000,hold
81,2000-04-28,30.46875,30.46875,29.5625,29.875,16.723022,10627400,hold
82,2000-05-01,29.90625,30.21875,29.375,29.851549,16.7099,7527600,buy
83,2000-05-02,29.71875,30.03125,29.5,29.90625,16.740524,5692200,hold
84,2000-05-03,30.3125,30.8125,30.15625,30.3125,16.967937,7259400,hold
85,2000-05-04,30.28125,30.84375,30.0,30.21875,16.915449,6600800,hold
86,2000-05-05,30.125,30.4375,29.90625,30.4375,17.037899,4403000,hold
87,2000-05-08,30.0625,30.6875,30.03125,30.59375,17.12536,5588600,hold
88,2000-05-09,30.625,31.53125,30.625,31.375,17.562687,8452800,hold
89,2000-05-10,31.65625,32.40625,31.46875,32.09375,17.96501,8208000,hold
90,2000-05-11,32.1875,32.59375,31.625,32.5,18.192419,6666800,sell
91,2000-05-12,32.5,32.78125,31.8125,32.0625,17.947523,4255800,buy
92,2000-05-15,31.9375,32.625,31.65625,32.4375,18.157433,4648000,hold
93,2000-05-16,32.4375,32.65625,31.9375,32.25,18.052479,6308800,hold
94,2000-05-17,32.25,32.5,31.875,32.5,18.192419,6044400,hold
95,2000-05-18,32.375,32.65625,32.25,32.375,18.122444,5166400,hold
96,2000-05-19,32.125,32.59375,32.03125,32.53125,18.209909,5963800,hold
97,2000-05-22,32.59375,32.6875,32.15625,32.4375,18.157433,6186200,hold
98,2000-05-23,32.1875,32.59375,31.875,32.1875,18.01749,5295400,buy
99,2000-05-24,32.28125,33.125,32.1875,32.9375,18.437311,8813600,hold
100,2000-05-25,32.8125,33.0,32.375,32.96875,18.454811,6617400,hold
101,2000-05-26,32.875,33.21875,32.8125,33.125,18.542265,4463400,hold
102,2000-05-30,33.15625,33.1875,32.875,33.0625,18.507294,4370000,hold
103,2000-05-31,33.0,33.4375,32.78125,33.25,18.612247,4208800,sell
104,2000-06-01,33.0625,33.1875,32.6875,32.8125,18.367348,7701000,hold
105,2000-06-02,32.6875,32.6875,31.75,32.0,17.912542000000006,10462600,hold
106,2000-06-05,32.0,32.0,31.25,31.65625,17.720118,7586600,hold
107,2000-06-06,31.4375,31.84375,31.3125,31.625,17.702621,4348200,hold
108,2000-06-07,31.4375,31.9375,30.9375,30.9375,17.317785,6278000,hold
109,2000-06-08,29.3125,30.0,27.9375,28.75,16.093296,45193400,hold
110,2000-06-09,28.40625,28.75,27.90625,28.5,15.953352,17979000,hold
111,2000-06-12,28.5,28.59375,28.03125,28.1875,15.778427,9321800,hold
112,2000-06-13,27.90625,28.5,27.90625,28.5,15.953352,9267200,hold
113,2000-06-14,28.375,28.5625,28.03125,28.5,15.953352,8078800,hold
114,2000-06-15,28.59375,28.75,28.21875,28.375,15.883388,11457600,hold
