,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,32.46875,32.5,31.0,31.25,19.769386,2140400,
1,2000-01-04,30.5625,31.21875,29.5,29.96875,18.958849,3367000,
2,2000-01-05,29.96875,30.125,29.25,29.375,18.583229,3904600,
3,2000-01-06,29.25,30.90625,28.4375,30.78125,19.472839,6148600,
4,2000-01-07,30.78125,32.34375,30.3125,32.0,20.243855,3995000,
5,2000-01-10,32.0,32.625,31.84375,32.3125,20.441551,2460200,hold
6,2000-01-11,32.1875,32.21875,31.46875,31.5625,19.967083,2210000,hold
7,2000-01-12,31.59375,32.75,31.5625,32.28125,20.42178,2532200,hold
8,2000-01-13,32.09375,32.9375,32.0,32.625,20.639252,2106400,sell
9,2000-01-14,32.625,32.625,31.5,31.90625,20.184555,3040800,hold
10,2000-01-18,31.5,31.71875,30.09375,31.375,19.848467000000007,4874600,hold
11,2000-01-19,31.1875,31.75,30.21875,30.34375,19.196081,3621200,hold
12,2000-01-20,30.53125,30.65625,29.03125,29.65625,18.761152,3840200,hold
13,2000-01-21,29.75,30.5,29.03125,30.3125,19.17631,4532400,hold
14,2000-01-24,31.25,31.875,29.75,30.0,18.978624,5444400,hold
15,2000-01-25,29.6875,29.8125,28.0,28.4375,17.990147,5178200,hold
16,2000-01-26,28.4375,29.0,27.6875,28.5,18.029686,4411200,hold
17,2000-01-27,28.5,28.6875,27.0,27.59375,17.456371,3873800,hold
18,2000-01-28,27.46875,27.5625,25.75,26.125,16.527214,7165400,hold
19,2000-01-31,26.3125,26.875,26.15625,26.46875,16.744678,4094800,hold
20,2000-02-01,26.75,27.0,26.28125,26.84375,16.981907,5269600,hold
21,2000-02-02,26.9375,27.25,26.59375,26.875,17.001675,3064200,hold
22,2000-02-03,27.125,27.1875,25.75,26.46875,16.744678,4442000,hold
23,2000-02-04,26.5,26.75,25.0,25.6875,16.250436999999998,6752800,hold
24,2000-02-07,25.59375,26.0,25.15625,25.59375,16.191132,7392400,hold
25,2000-02-08,25.5,25.8125,24.96875,25.5,16.131821,4819600,hold
26,2000-02-09,25.9375,26.28125,25.25,25.3125,16.013203,5518600,hold
27,2000-02-10,25.375,25.84375,24.875,25.0625,15.855053,3483600,hold
28,2000-02-11,25.0625,25.53125,23.78125,24.1875,15.301506,3988000,buy
29,2000-02-14,24.40625,25.75,24.40625,25.15625,15.914363,4672400,hold
30,2000-02-15,25.3125,26.4375,24.8125,26.21875,16.586519,6492000,hold
31,2000-02-16,26.34375,26.9375,26.0,26.0625,16.61441,3866200,hold
32,2000-02-17,27.0,27.3125,26.0,27.0625,17.251892,3986200,sell
33,2000-02-18,27.125,27.25,25.9375,26.1875,16.694098999999998,2937000,hold
34,2000-02-22,26.8125,27.21875,25.65625,26.75,17.052679,2887800,hold
35,2000-02-23,26.75,27.1875,26.375,26.375,16.813622,3639000,hold
36,2000-02-24,26.4375,26.5625,25.09375,25.4375,16.215979,4850000,hold
37,2000-02-25,25.25,25.5625,24.9375,25.03125,15.957002,4349600,buy
38,2000-02-28,25.375,25.875,25.0,25.53125,16.275747,7077600,hold
39,2000-02-29,26.0,26.0,25.25,25.46875,16.235903,3241600,hold
40,2000-03-01,25.46875,25.5625,24.375,25.40625,16.196057999999994,3662800,hold
41,2000-03-02,25.375,25.6875,24.8125,25.40625,16.196057999999994,3311600,hold
42,2000-03-03,25.28125,26.46875,25.0,25.90625,16.514803,3196000,sell
43,2000-03-06,26.15625,26.34375,24.625,25.0,15.937075,3306200,hold
44,2000-03-07,25.0625,25.78125,24.375,25.25,16.096451000000002,3321600,hold
45,2000-03-08,25.25,25.25,24.5,24.625,15.698026,3341400,hold
46,2000-03-09,24.25,24.5,23.25,24.03125,15.319532,4442200,buy
47,2000-03-10,23.90625,24.75,23.46875,24.4375,15.578504999999998,4031600,hold
48,2000-03-13,24.25,24.71875,24.09375,24.5,15.618345,2977800,hold
49,2000-03-14,24.78125,25.3125,24.78125,24.96875,15.917158,4819000,hold
50,2000-03-15,25.03125,27.75,24.6875,26.9375,17.172207,6193600,hold
51,2000-03-16,27.4375,28.96875,27.125,28.5,18.168276,6666400,hold
52,2000-03-17,28.0,29.1875,27.09375,27.3125,17.411264000000006,5387400,buy
53,2000-03-20,27.3125,28.90625,26.96875,28.0625,17.889374,3508200,hold
54,2000-03-21,27.875,28.90625,27.625,28.375,18.088589,3442000,hold
55,2000-03-22,28.75,29.125,27.6875,27.90625,17.78977,5261000,hold
56,2000-03-23,27.9375,29.1875,27.5,29.1875,18.606544,3499600,hold
57,2000-03-24,28.75,29.5,28.25,28.53125,18.188192,3298200,hold
58,2000-03-27,29.4375,29.4375,28.5,28.71875,18.307722,2979600,hold
59,2000-03-28,28.5,29.125,28.5,28.90625,18.427252,2408800,hold
60,2000-03-29,28.6875,29.125,28.15625,28.8125,18.367489000000006,2301200,hold
61,2000-03-30,28.75,31.0,28.75,30.6875,19.562767,4159400,hold
62,2000-03-31,30.0,32.25,29.875,31.59375,20.140497,5577400,sell
63,2000-04-03,31.59375,31.9375,29.875,30.9375,19.722151,4282400,hold
64,2000-04-04,31.5,31.9375,29.78125,31.59375,20.140497,3104000,hold
65,2000-04-05,31.125,31.375,30.25,30.5,19.443245,2719200,hold
66,2000-04-06,30.53125,31.3125,30.375,30.75,19.602613,2314200,hold
67,2000-04-07,30.75,30.9375,30.0,30.46875,19.423313,2466200,hold
68,2000-04-10,30.46875,32.0,30.375,32.0,20.39946,3665200,hold
69,2000-04-11,31.4375,32.875,31.34375,32.125,20.479149,4577000,sell
70,2000-04-12,32.0625,32.625,32.0625,32.125,20.479149,4755200,sell
71,2000-04-13,32.0625,32.34375,30.40625,30.4375,19.403397,4741400,hold
72,2000-04-14,28.5625,29.5,28.03125,28.125,17.929222,5061600,buy
73,2000-04-17,29.0,29.84375,28.8125,29.78125,18.985052,2781000,hold
74,2000-04-18,29.375,30.1875,28.40625,29.03125,18.506943,2700800,hold
75,2000-04-19,29.5625,31.21875,29.375,30.5625,19.483082,3027400,hold
76,2000-04-20,30.0,32.3125,29.9375,32.03125,20.419386,4478000,hold
77,2000-04-24,32.5,33.0625,32.0,32.4375,20.67837,5185600,sell
78,2000-04-25,32.5,32.84375,31.65625,32.28125,20.578762,3311000,hold
79,2000-04-26,32.09375,32.25,30.3125,30.3125,19.323713,3729200,buy
80,2000-04-27,30.25,31.40625,30.0,31.0,19.761988,2289800,hold
81,2000-04-28,31.0,31.4375,30.375,31.09375,19.821753,1395200,hold
82,2000-05-01,30.71875,31.8125,30.5,31.0,19.761988,2307800,hold
83,2000-05-02,31.21875,31.9375,30.78125,31.375,20.001045,3010000,hold
84,2000-05-03,30.625,31.09375,30.28125,30.65625,19.542845,1538400,hold
85,2000-05-04,30.71875,31.125,30.0,30.875,19.682295,3223000,hold
86,2000-05-05,31.0,32.96875,30.8125,32.65625,20.817818,3386200,sell
87,2000-05-08,32.53125,33.46875,30.96875,31.125,19.841665,3777400,hold
88,2000-05-09,31.1875,31.75,30.78125,31.25,19.921352,2408400,hold
89,2000-05-10,31.46875,31.75,29.5,29.875,19.044813,4306200,buy
90,2000-05-11,30.8125,32.25,30.6875,31.75,20.240103,2625400,hold
91,2000-05-12,31.8125,32.4375,31.4375,32.125,20.479149,2420400,hold
92,2000-05-15,31.75,32.5,31.75,32.03125,20.419386,2277800,hold
93,2000-05-16,32.4375,33.21875,32.15625,33.09375,21.096714,2178200,sell
94,2000-05-17,32.875,32.875,32.3125,32.59375,20.904306,2165200,hold
95,2000-05-18,32.46875,32.9375,32.1875,32.445301,20.809105,1848000,hold
96,2000-05-19,31.75,31.9375,30.8125,31.1875,20.002394,2161000,hold
97,2000-05-22,31.5,31.5,30.8125,30.96875,19.862097,3453600,hold
98,2000-05-23,31.21875,31.21875,30.21875,30.40625,19.501337,3230800,hold
99,2000-05-24,30.9375,30.9375,29.5,29.9375,19.200691,4726800,hold
100,2000-05-25,29.9375,29.9375,29.21875,29.6875,19.040365,3716800,hold
101,2000-05-26,30.0625,30.0625,29.1875,29.46875,18.900055,1678800,buy
102,2000-05-30,29.34375,29.78125,28.875,29.5,18.920101000000006,3547000,hold
103,2000-05-31,29.46875,30.6875,29.34375,30.21875,19.381081,2836800,hold
104,2000-06-01,29.5,30.9375,29.03125,30.84375,19.781927,3278600,hold
105,2000-06-02,31.40625,32.4375,31.3125,31.5625,20.242901,3129400,sell
106,2000-06-05,30.5625,30.78125,29.875,30.375,19.481293,2447800,hold
107,2000-06-06,30.375,30.96875,30.0625,30.78125,19.741835,1887000,hold
108,2000-06-07,30.8125,31.125,29.9375,30.0,19.24078,1936200,hold
109,2000-06-08,29.0,29.125,28.0,28.46875,18.258692,7184600,buy
110,2000-06-09,28.75,29.65625,28.6875,29.34375,18.819883,3856000,hold
111,2000-06-12,29.375,29.5625,29.125,29.1406,18.689596,1764800,hold
112,2000-06-13,29.375,29.40625,28.5,28.59375,18.338871,2685600,hold
113,2000-06-14,29.0,30.125,29.0,29.875,19.160604,3227200,hold
114,2000-06-15,29.90625,30.875,29.46875,29.8125,19.120529,2175600,hold
115,2000-06-16,29.5625,30.125,29.09375,29.4375,18.880014000000006,3612800,hold
116,2000-06-19,29.625,29.65625,28.15625,28.6875,18.399002,4281800,hold
117,2000-06-20,28.5,28.5625,27.5625,27.8125,17.837803,5452200,buy
118,2000-06-21,28.5625,28.71875,27.6875,28.4375,18.238655,2787000,hold
119,2000-06-22,29.0,29.0,27.8125,28.25,18.118399,2640200,hold
120,2000-06-23,28.25,28.625,27.90625,28.53125,18.298782,1551800,hold
121,2000-06-26,28.875,29.0,28.25,28.53125,18.298782,1500000,hold
122,2000-06-27,28.5,29.0625,28.15625,28.25,18.118399,3035600,hold
123,2000-06-28,28.25,28.84375,28.09375,28.367149,18.193531,2568200,hold
124,2000-06-29,28.03125,28.0625,27.09375,27.25,17.477041,3472400,buy
125,2000-06-30,27.46875,29.492149,27.0,29.4375,18.880014000000006,5072200,hold
126,2000-07-03,28.75,28.78125,27.6875,28.34375,18.178537,1696600,hold
