,Date,Open,High,Low,Close,Adj Close,Volume,Labels
0,2000-01-03,68.375,69.0,65.5,66.8125,47.598156,8369900,
1,2000-01-04,65.5,65.8125,64.1875,64.3125,45.81712,6745100,
2,2000-01-05,63.875,64.375,62.1875,63.0,44.88208,7018700,
3,2000-01-06,63.0,64.5625,62.6875,63.6875,45.371857,6544500,
4,2000-01-07,64.5,68.9375,64.5,68.5,48.800369,7976900,
5,2000-01-10,67.25,67.5,65.625,67.25,47.909851,6714300,hold
6,2000-01-11,67.0625,67.75,65.625,66.25,47.19743,4943300,hold
7,2000-01-12,66.1875,66.75,65.0625,65.0625,46.351433,4085000,hold
8,2000-01-13,66.0,66.125,65.0,65.125,46.395954,5021000,hold
9,2000-01-14,64.0,65.9375,64.0,64.5,45.950706,6312200,hold
10,2000-01-18,63.1875,66.4375,63.0625,65.5625,46.70763400000001,6442200,hold
11,2000-01-19,65.25,65.8125,64.0,64.0625,45.639011,4819900,hold
12,2000-01-20,64.4375,64.5,62.5,63.375,45.149231,5738100,hold
13,2000-01-21,63.9375,63.9375,62.0625,62.4375,44.481354,6952500,hold
14,2000-01-24,63.4375,63.4375,57.5,59.375,42.299587,7799900,hold
15,2000-01-25,59.8125,61.1875,59.5,61.125,43.546303,6403800,hold
16,2000-01-26,61.125,62.0625,60.0,61.9375,44.125141,4538400,hold
17,2000-01-27,61.3125,61.5,57.875,59.125,42.121479,7323300,hold
18,2000-01-28,58.875,58.875,53.5,55.125,39.27182,14029400,hold
19,2000-01-31,54.5625,55.5,54.125,54.75,39.004658,7972700,buy
20,2000-02-01,55.0,59.5,54.9375,58.6875,41.809792,8359000,hold
21,2000-02-02,58.875,60.125,57.9375,58.375,41.587166,6034600,hold
22,2000-02-03,58.375,58.8125,56.25,58.375,41.587166,6999000,hold
23,2000-02-04,57.9375,57.9375,56.0,56.3125,40.117809,6549700,hold
24,2000-02-07,56.625,56.625,54.625,55.75,39.717094,6043700,buy
25,2000-02-08,57.3125,59.6875,56.875,59.5,42.388618,8576100,sell
26,2000-02-09,60.0,60.125,57.3125,57.8125,41.186432,8216600,hold
27,2000-02-10,57.625,58.375,56.8125,57.0,40.607605,4591600,hold
28,2000-02-11,57.4375,57.5,55.625,56.0625,39.939693,4816700,hold
29,2000-02-14,56.6875,58.875,56.5,58.875,41.943375,5803600,hold
30,2000-02-15,56.9375,58.0,55.0,58.0,41.320011,9712100,hold
31,2000-02-16,56.5,56.5,52.6875,52.75,37.579849,13585800,hold
32,2000-02-17,52.9375,53.5,48.0,48.375,34.463001,24766700,hold
33,2000-02-18,48.5,49.5,47.25,47.75,34.017754,19394400,hold
34,2000-02-22,49.25,49.3125,46.75,48.125,34.284916,12342600,hold
35,2000-02-23,48.4375,48.5,46.75,47.0,33.483456,12874400,hold
36,2000-02-24,47.0,47.875,43.4375,47.875,34.106819,19431900,hold
37,2000-02-25,44.3125,45.3125,43.625,44.5,31.702431,16908500,buy
38,2000-02-28,44.5625,46.9375,44.5625,46.1875,32.904633000000004,17836100,hold
39,2000-02-29,47.9375,49.75,47.9375,48.75,34.730164,17197200,hold
40,2000-03-01,49.875,50.0,47.5,49.0,34.908295,10165800,hold
41,2000-03-02,52.75,52.875,50.4375,50.5625,36.02141599999999,15542700,hold
42,2000-03-03,52.125,53.3125,51.5,52.625,37.490768,10790800,sell
43,2000-03-06,52.625,52.6875,48.625,50.5,35.97689099999999,10493600,hold
44,2000-03-07,49.625,49.625,47.125,47.5625,33.884182,9724700,buy
45,2000-03-08,47.3125,49.3125,45.625,48.3125,34.418507,10018700,hold
46,2000-03-09,49.0,49.4375,46.875,48.9375,34.863766,7944900,hold
47,2000-03-10,49.75,49.75,47.4375,47.9375,34.151344,7005500,hold
48,2000-03-13,46.25,47.9375,45.875,47.6875,33.973244,7727900,hold
49,2000-03-14,47.0,48.8125,46.3125,47.75,34.017754,9985000,hold
50,2000-03-15,47.4375,51.9375,46.5625,51.5,36.735474,14670000,hold
51,2000-03-16,52.3125,55.5625,51.625,54.625,38.964558,19716000,hold
52,2000-03-17,54.5625,56.25,54.125,55.75,39.76704,12637300,hold
53,2000-03-20,55.8125,55.8125,53.375,55.125,39.321243,6769100,hold
54,2000-03-21,55.4375,56.625,54.5,56.625,40.391182,7854600,sell
55,2000-03-22,56.5,56.5,54.0,55.375,39.499557,9963500,hold
56,2000-03-23,54.375,54.5625,53.5,54.0,38.518761,7025500,buy
57,2000-03-24,54.4375,55.6875,54.0,55.5,39.588722,7952900,hold
58,2000-03-27,54.6875,55.5,54.25,55.4375,39.54414000000001,5774900,hold
59,2000-03-28,54.5625,55.9375,54.5,54.5,38.875401,5797600,hold
60,2000-03-29,55.5,59.375,55.4375,58.75,41.906979,13596700,hold
61,2000-03-30,59.75,60.75,58.875,59.0,42.08530800000001,11570800,hold
62,2000-03-31,59.25,59.3125,55.5,56.5,40.30204000000001,9054000,hold
63,2000-04-03,56.625,62.0,56.625,61.1875,43.645672,11935700,hold
64,2000-04-04,61.6875,63.3125,57.5,60.0,42.798603,13675800,hold
65,2000-04-05,59.3125,60.125,57.5625,58.25,41.550327,7066000,hold
66,2000-04-06,59.125,61.25,58.75,61.125,43.601086,7254200,hold
67,2000-04-07,61.25,62.0,60.625,61.5,43.868595,4013100,hold
68,2000-04-10,61.5,63.6875,61.0,63.5625,45.339787,5521000,sell
69,2000-04-11,62.875,63.5,61.5,63.375,45.206032,5355400,hold
70,2000-04-12,63.4375,64.9375,62.0625,62.4375,44.537315,7243300,hold
71,2000-04-13,62.3125,62.3125,59.5,60.0625,42.843189,7884500,hold
72,2000-04-14,58.0,58.9375,55.0,55.0,39.232063,9372700,hold
73,2000-04-17,55.125,56.375,51.75,54.0,38.518761,9660500,hold
74,2000-04-18,54.0,56.3125,53.125,53.875,38.429588,7661200,buy
75,2000-04-19,54.125,55.5,53.75,54.9375,39.187469,6255300,hold
76,2000-04-20,55.125,57.9375,55.125,57.6875,41.149075,6090400,hold
77,2000-04-24,57.9375,60.625,57.5,58.875,41.996147,5633700,hold
78,2000-04-25,58.0625,60.75,57.5625,59.6875,42.57571,6038300,sell
79,2000-04-26,60.1875,60.75,58.3125,58.75,41.906979,5202000,hold
80,2000-04-27,57.625,58.4375,56.5,57.6875,41.149075,5515000,hold
81,2000-04-28,56.8125,57.3125,55.375,55.375,39.499557,5012600,hold
82,2000-05-01,56.375,58.8125,56.1875,57.9375,41.3274,5109000,hold
83,2000-05-02,57.3125,57.8125,56.6875,57.625,41.10449600000001,4821500,hold
84,2000-05-03,54.25,54.5,52.75,53.4375,38.117527,10457300,hold
85,2000-05-04,53.9375,53.9375,50.4375,51.0,36.378811,10766900,buy
86,2000-05-05,50.1875,52.875,50.1875,51.3125,36.601727,8640000,hold
87,2000-05-08,51.25,52.375,49.5,52.375,37.359619,7626100,hold
88,2000-05-09,54.375,54.875,52.5,53.0,37.80545,8888200,hold
89,2000-05-10,53.4375,57.125,53.0,56.6875,40.43578,11245300,hold
90,2000-05-11,56.9375,57.0625,55.0,56.0,39.945362,6105300,buy
91,2000-05-12,55.75,57.1875,55.3125,56.8125,40.524952,4371000,hold
92,2000-05-15,56.25,57.3125,55.5,57.0,40.658688,4272300,hold
93,2000-05-16,57.4375,59.0625,57.1875,58.0,41.371998,6378700,sell
94,2000-05-17,56.6875,56.75,55.4375,56.375,40.21285200000001,4592300,hold
95,2000-05-18,56.25,57.9375,56.1875,57.9375,41.3274,4887900,hold
96,2000-05-19,56.125,58.75,56.125,57.0625,40.70327800000001,6357700,hold
97,2000-05-22,57.6875,57.6875,56.1875,57.375,40.92617,4628100,hold
98,2000-05-23,57.5625,58.375,56.8125,57.1875,40.792427,4291000,hold
99,2000-05-24,55.25,57.0,52.75,56.875,40.569527,10341500,hold
100,2000-05-25,55.8125,56.6875,54.0625,55.0,39.232063,4619200,hold
101,2000-05-26,54.25,55.0,53.125,54.0,38.518761,3996400,hold
102,2000-05-30,53.0625,54.125,52.6875,53.375,38.072933,4352700,buy
103,2000-05-31,54.875,60.0,54.5,57.625,41.10449600000001,7658900,hold
104,2000-06-01,57.125,57.6875,56.25,57.0,40.658688,4786400,hold
105,2000-06-02,58.875,60.0625,58.0625,59.0625,42.129871,7088100,hold
106,2000-06-05,59.3125,59.75,58.75,59.3125,42.308205,4360400,sell
107,2000-06-06,58.8125,58.8125,57.75,58.25,41.550327,4440100,hold
108,2000-06-07,57.75,59.0625,57.75,57.875,41.282837,3424600,hold
109,2000-06-08,57.8125,58.0,56.3125,56.875,40.569527,3993100,hold
110,2000-06-09,57.4375,58.0,53.9375,54.0,38.518761,7283100,hold
111,2000-06-12,54.0,54.375,51.8125,52.75,37.627125,8089200,buy
112,2000-06-13,52.0625,55.0,51.625,55.0,39.232063,7711700,hold
113,2000-06-14,54.9375,55.6875,54.125,55.125,39.364162,6686800,hold
114,2000-06-15,55.0625,56.1875,54.8125,55.5,39.631962,5682300,hold
115,2000-06-16,54.75,56.125,53.25,53.875,38.471561,9569700,hold
116,2000-06-19,53.6875,55.0,52.8125,54.375,38.828594,6001700,hold
117,2000-06-20,54.25,54.6875,53.125,54.5,38.917847,6063800,hold
118,2000-06-21,54.5625,54.5625,53.375,53.9375,38.51619,4287300,hold
119,2000-06-22,53.0625,53.4375,51.875,52.5,37.489689,5667800,buy
120,2000-06-23,53.6875,54.4375,52.875,53.75,38.382305,6269600,hold
121,2000-06-26,54.1875,54.6875,53.75,53.75,38.382305,3924700,hold
122,2000-06-27,54.125,57.4375,53.75,56.8125,40.569206,6554400,hold
123,2000-06-28,56.5,57.1875,55.6875,55.984299,39.977779,4824100,hold
124,2000-06-29,55.3125,55.375,53.5625,54.125,38.650074,5290900,hold
125,2000-06-30,54.125,57.734299,54.0625,57.625,41.149395,7622200,hold
126,2000-07-03,57.25,57.375,56.125,56.875,40.613819,2577300,hold
